Bernalillo, Barack Obama, Democrat, 60.03
Catron, John Mccain, Republican, 66.19
Chaves, John Mccain, Republican, 61.74
Cibola, Barack Obama, Democrat, 64.05
Colfax, Barack Obama, Democrat, 54.67
Curry, John Mccain, Republican, 66.48
De Baca, John Mccain, Republican, 64.75
Dona Ana, Barack Obama, Democrat, 58.14
Eddy, John Mccain, Republican, 62.21
Grant, Barack Obama, Democrat, 59.19
Guadalupe, Barack Obama, Democrat, 70.9
Harding, John Mccain, Republican, 57.19
Hidalgo, Barack Obama, Democrat, 50.9
Lea, John Mccain, Republican, 71.58
Lincoln, John Mccain, Republican, 61.89
Los Alamos, Barack Obama, Democrat, 52.62
Luna, Barack Obama, Democrat, 51.69
Mckinley, Barack Obama, Democrat, 71.41
Mora, Barack Obama, Democrat, 78.55
Otero, John Mccain, Republican, 58.83
Quay, John Mccain, Republican, 59.23
Rio Arriba, Barack Obama, Democrat, 74.99
Roosevelt, John Mccain, Republican, 64.15
Sandoval, Barack Obama, Democrat, 55.72
San Juan, John Mccain, Republican, 59.92
San Miguel, Barack Obama, Democrat, 79.75
Santa Fe, Barack Obama, Democrat, 76.94
Sierra, John Mccain, Republican, 55
Socorro, Barack Obama, Democrat, 59.48
Taos, Barack Obama, Democrat, 81.82
Torrance, John Mccain, Republican, 53.81
Union, John Mccain, Republican, 70.44
Valencia, Barack Obama, Democrat, 53.17
