Adams, Barack Obama, Democrat, 58.22
Alamosa, Barack Obama, Democrat, 56.01
Arapahoe, Barack Obama, Democrat, 55.69
Archuleta, John Mccain, Republican, 54.91
Baca, John Mccain, Republican, 72.28
Bent, John Mccain, Republican, 56.09
Boulder, Barack Obama, Democrat, 72.29
Broomfield, Barack Obama, Democrat, 54.89
Chaffee, John Mccain, Republican, 49.12
Cheyenne, John Mccain, Republican, 80.11
Clear Creek, Barack Obama, Democrat, 57.78
Conejos, Barack Obama, Democrat, 55.6
Costilla, Barack Obama, Democrat, 73.36
Crowley, John Mccain, Republican, 62.64
Custer, John Mccain, Republican, 63.6
Delta, John Mccain, Republican, 65.23
Denver, Barack Obama, Democrat, 75.45
Dolores, John Mccain, Republican, 67.21
Douglas, John Mccain, Republican, 58.03
Eagle, Barack Obama, Democrat, 60.9
Elbert, John Mccain, Republican, 68.97
El Paso, John Mccain, Republican, 58.69
Fremont, John Mccain, Republican, 63.6
Garfield, John Mccain, Republican, 49.21
Gilpin, Barack Obama, Democrat, 59.19
Grand, John Mccain, Republican, 49.69
Gunnison, Barack Obama, Democrat, 62.64
Hinsdale, John Mccain, Republican, 57.43
Huerfano, Barack Obama, Democrat, 54.6
Jackson, John Mccain, Republican, 68.35
Jefferson, Barack Obama, Democrat, 53.6
Kiowa, John Mccain, Republican, 76.29
Kit Carson, John Mccain, Republican, 71.32
Lake, Barack Obama, Democrat, 61.93
La Plata, Barack Obama, Democrat, 57.39
Larimer, Barack Obama, Democrat, 53.99
Las Animas, Barack Obama, Democrat, 52.68
Lincoln, John Mccain, Republican, 74.52
Logan, John Mccain, Republican, 66.86
Mesa, John Mccain, Republican, 64.02
Mineral, John Mccain, Republican, 53.61
Moffat, John Mccain, Republican, 70.43
Montezuma, John Mccain, Republican, 58.87
Montrose, John Mccain, Republican, 63.69
Morgan, John Mccain, Republican, 61.29
Otero, John Mccain, Republican, 54.48
Ouray, Barack Obama, Democrat, 53.46
Park, John Mccain, Republican, 52.18
Phillips, John Mccain, Republican, 71.33
Pitkin, Barack Obama, Democrat, 73.74
Prowers, John Mccain, Republican, 65.94
Pueblo, Barack Obama, Democrat, 56.74
Rio Blanco, John Mccain, Republican, 77.44
Rio Grande, John Mccain, Republican, 53.82
Routt, Barack Obama, Democrat, 62.66
Saguache, Barack Obama, Democrat, 62.98
San Juan, Barack Obama, Democrat, 53.23
San Miguel, Barack Obama, Democrat, 76.99
Sedgwick, John Mccain, Republican, 63.43
Summit, Barack Obama, Democrat, 65.79
Teller, John Mccain, Republican, 63.12
Washington, John Mccain, Republican, 77.56
Weld, John Mccain, Republican, 53.39
Yuma, John Mccain, Republican, 73.3
